,Coefficients
func_dec: security,2.6151034820451806
func_dec: rtl92e,1.8298435085532332
func_dec: nilfs,1.6121806576220479
func_dec: ovl,1.5590374495355392
func_dec: virtf,1.4767038524377942
func_dec: rtw,1.4584875709509018
func_dec: ubifs,1.435623441475032
func_dec: si476x,1.404888335167309
func_dec: r8712,1.4021176756319804
func_dec: ocfs2,1.3932574596984144
func_dec: gb,1.3638102493149573
func_dec: snd,1.36103224320542
func_dec: padapter,1.3122807332985582
func_dec: beiscsi,1.294543466096042
func_dec: iomem,1.2683112903538456
func_dec: vhost,1.238055940171065
func_dec: cpumask,1.2351545510820352
func_dec: en,1.228854495966539
func_dec: runtime,1.2143130531105435
func_dec: vfs,1.1978980327084912
func_dec: wil6210,1.1733354991586118
func_dec: acpi,1.164828190315432
func_dec: t3,1.1613100120464366
func_dec: qplib,1.1579213446397667
func_dec: atl,1.1350742095087099
func_dec: hpi,1.1314887840840706
func_dec: phylink,1.1308641807056623
func_dec: lnum,1.1252224783621767
func_dec: iio,1.1017675176827502
func_dec: f2fs,1.0797959724906383
func_dec: tty,1.0787963019868019
func_dec: asix,1.0757690147921408
func_dec: orinoco,1.0752479097542957
func_dec: dvb,1.0648321436325106
func_dec: btrfs,1.0560738115509807
func_dec: amdgpu,1.0503913142673693
func_dec: solo,1.047462736419204
func_dec: wil,1.0420886393861677
func_dec: typec,1.0361514435791348
func_dec: cik,1.0302440651388742
func_dec: drm,1.0269792592370752
func_dec: altera,1.025809960212859
func_dec: sample,1.0084263106768288
func_dec: unmap,1.0070786755919707
func_dec: hsr,0.9952771936262688
func_dec: ieee,0.993490524555768
func_dec: cx18,0.9893032625468664
func_dec: lb,0.9769732704135083
func_dec: rtl8192,0.9633303110240549
func_dec: dm,0.9559939182454321
func_dec: spi,0.9559890409273388
func_dec: iport,0.9555537712751638
func_dec: mxl111sf,0.9549002690604131
func_dec: uvc,0.9499167801094279
func_dec: cx231xx,0.9392341417203445
func_dec: fc,0.9329917663529551
func_dec: irq,0.9312634398680093
func_dec: chan,0.9308681341250006
func_dec: tm6000,0.9253615387031412
func_dec: st,0.9205251146313734
func_dec: s3fwrn5,0.9197598308828387
func_dec: nouveau,0.919278539497777
func_dec: bch,0.919086021772252
func_dec: hdmi,0.9051878615067024
func_dec: pm8001,0.899032154491831
func_dec: active,0.8953648150771548
func_dec: vfpf,0.8897865028852172
func_dec: managed,0.882288884067675
func_dec: vme,0.8811343785235225
func_dec: else,0.8671218216479011
func_dec: l3mdev,0.8616039214843909
func_dec: vmci,0.8615833625637342
func_dec: intel,0.8610407470304453
func_dec: encoder,0.8601771583609052
func_dec: pbuf,0.8570069941898563
func_dec: pBtCoexist,0.8538734115567811
func_dec: oxygen,0.8497218726811885
func_dec: sbi,0.8480941711991469
func_dec: iforce,0.8471988067532618
func_dec: regulator,0.8439775031058886
func_dec: nvkm,0.8424066761731226
func_dec: hostap,0.8418804858656019
func_dec: lcnphy,0.836229409906794
func_dec: transaction,0.8350299166806543
func_dec: k,0.8321746030862175
func_dec: analogix,0.8317977096480801
func_dec: execute,0.8302665174046953
func_dec: mq,0.8276165105893635
func_dec: medium,0.8269948499500339
func_dec: extent,0.825426139482077
func_dec: cec,0.8216100807158871
func_dec: s32,0.8202803630992713
func_dec: prism2,0.8173167987414065
func_dec: rv770,0.8171018566145432
func_dec: oclass,0.8113628671595876
func_dec: validate,0.8108766245974615
func_dec: align,0.8101983485453084
func_dec: kern,0.8097669199298345
func_dec: iommu,0.8051511699925482
func_dec: kernel,0.8037651658778325
func_dec: tulip,0.8028701579118248
func_dec: phba,0.7957498227911876
func_dec: xhci,0.7926299868731879
func_dec: fm,0.7925225935210952
func_dec: mapping,0.7901979148482582
func_dec: nla,0.7877198199996733
func_dec: wq,0.7862633427429554
func_dec: usbnet,0.7847200104909395
func_dec: viafb,0.7827559999243567
func_dec: attribute,0.7822022300744856
func_dec: record,0.7732858495078582
func_dec: ratio,0.7691299006253407
func_dec: fsg,0.7659903919337991
func_dec: mgr,0.7648967996618394
func_dec: mvrp,0.7641375673594668
func_dec: accel,0.7618262747117412
func_dec: pdu,0.7617814604646617
func_dec: regmap,0.7529921882463708
func_dec: bcm,0.7508980544173661
func_dec: fchs,0.747955779882498
func_dec: slot,0.747577285445984
func_dec: qat,0.7451368429684238
func_dec: MPI,0.7435453134257184
func_dec: odm,0.7434264148659235
func_dec: fuse,0.7432515604071228
func_dec: trans,0.7399225378118711
func_dec: str,0.7385218525895223
func_dec: nor,0.733330424778376
func_dec: recover,0.7319557796618464
func_dec: pcr,0.7315182463552383
func_dec: sz,0.7261622896459757
func_dec: sqp,0.725173893563502
func_dec: aq,0.7209362694435327
func_dec: scatterlist,0.7209171769658478
func_dec: pAdapter,0.7201908505051118
func_dec: bdc,0.7201077599810031
func_dec: iso,0.7190410153578916
func_dec: nvif,0.714736987148082
func_dec: connector,0.7142931356590713
func_dec: llc,0.7136512693079575
func_dec: manager,0.7112385096662568
func_dec: bi,0.7083973550079717
func_dec: sa,0.7063956195369767
func_dec: midi,0.7047608474541162
func_dec: unit,0.7046149377280602
func_dec: program,0.7031674475710358
func_dec: cx,0.7028072910342872
func_dec: vlv,0.7016885430829504
func_dec: alx,0.7014151462141843
func_dec: ksys,0.7003585071890637
func_dec: hi,0.6992250739847807
func_dec: object,0.6978870131445397
func_dec: fscrypt,0.6974506424039725
func_dec: mm,0.6970182270343386
func_dec: qla24xx,0.692435979824407
func_dec: ubi,0.6923625241139896
func_dec: fixed,0.6919596338247379
func_dec: poll,0.6913074744485893
func_dec: hdl,0.6898460425335731
func_dec: em28xx,0.689527022359181
func_dec: cpp,0.688354237659775
func_dec: ctrl,0.6870169313037053
func_dec: uvd,0.6853880368017046
func_dec: fb,0.6835362484957714
func_dec: selector,0.681160232893415
func_dec: fcport,0.680829144205119
func_dec: wext,0.6801743309461566
func_dec: svnic,0.6796106585743716
func_dec: iocb,0.6784043471800081
func_dec: configure,0.6783210469930059
func_dec: uint64,0.6750605709753745
func_dec: cam,0.6730533977680789
func_dec: interval,0.6724849719857905
func_dec: mtd,0.6720306208663447
func_dec: location,0.6709668993796362
func_dec: gendisk,0.6678720554656251
func_dec: tsk,0.6676781867599101
func_dec: mid,0.66621435101852
func_dec: addrlen,0.6648135235063225
func_dec: sst,0.6647457329312074
func_dec: hsi,0.6647135589354354
func_dec: pnp,0.6639204086562377
func_dec: recovery,0.6623463194189714
func_dec: populate,0.6621892485270237
func_dec: qctor,0.6588719929520185
func_dec: vfop,0.6588719929520185
func_dec: dsp,0.655189031746707
func_dec: ipc,0.6545547162188379
func_dec: argv,0.6534624237249241
func_dec: offs,0.6525137551629842
func_dec: tag,0.6483385380316745
func_dec: ecdh,0.6482586922605464
func_dec: v4l2,0.6460092391163208
func_dec: push,0.6413623724488752
func_dec: dquot,0.636924742197931
